id_imovel,tipo_imovel,zona,area_m2,quartos,casas_banho,andar,ano_construcao,estado_conservacao,orientacao_solar,vista,certificacao_energetica,distancia_centro_km,distancia_metro_km,distancia_escola_km,distancia_hospital_km,score_localizacao,tem_garagem,tem_piscina,tem_varanda,tem_arrecadacao,tem_elevador,tem_ar_condicionado,tem_lareira,tem_jardim,preco,preco_categoria
IMV00001,Penthouse,Zona Comercial,152,4,2,0,2012,Bom,Sudeste,Rua,C,2.8,0.03,3.5,5.36,6,False,False,False,False,False,False,True,False,454000.0,Alto
IMV00002,Duplex,Zona Comercial,94,2,1,5,2023,Novo,Oeste,Rua,B,0.2,1.4,0.19,0.2,5,False,True,True,False,True,False,False,False,330600.0,Alto
IMV00003,Moradia,Zona Comercial,89,2,1,0,2003,Razoável,Sudoeste,Jardim,C,3.6,1.37,2.55,0.28,4,False,False,False,False,False,False,False,False,180100.0,Médio
IMV00004,Moradia,Periferia,125,5,3,0,2024,Como Novo,Sul,Rua,B,6.3,6.5,1.48,0.66,2,False,False,True,False,False,True,False,True,209100.0,Médio
IMV00005,Penthouse,Zona Industrial,169,5,2,0,1960,Para Remodelar,Nordeste,Jardim,D,8.9,0.44,0.04,3.72,4,False,False,True,False,False,False,False,False,165100.0,Médio
IMV00006,Duplex,Periferia,153,5,2,4,2001,Razoável,Este,Rua,C,8.5,3.08,1.63,0.62,2,False,False,False,True,True,True,False,False,203700.0,Médio
IMV00007,Apartamento,Bairro Residencial,125,3,2,1,2020,Novo,Sul,Jardim,A,3.3,0.44,0.28,3.58,6,False,False,True,False,False,False,True,False,249600.0,Médio
IMV00008,Duplex,Zona Premium,131,3,2,1,1964,Para Remodelar,Oeste,Jardim,F,3.5,1.15,0.09,5.41,6,False,False,False,False,True,False,False,False,296500.0,Médio
IMV00009,Apartamento,Zona Comercial,71,2,1,2,2021,Novo,Nordeste,Pátio,B,2.6,2.55,0.81,2.26,4,False,False,False,False,False,False,False,False,157600.0,Médio
IMV00010,Apartamento,Centro Histórico,108,2,2,7,2015,Bom,Oeste,Cidade,B,1.4,4.11,1.54,3.32,5,True,False,False,False,True,False,False,True,275500.0,Médio
IMV00011,Duplex,Periferia,152,4,2,3,1981,Razoável,Norte,Rua,D,7.0,5.42,0.5,6.68,3,False,True,False,False,False,True,False,False,204100.0,Médio
IMV00012,Duplex,Zona Comercial,92,2,1,7,1996,Razoável,Sudoeste,Cidade,E,1.7,5.1,3.31,5.75,4,False,False,False,False,True,False,False,False,185500.0,Médio
IMV00013,Moradia,Zona Premium,124,3,3,0,2024,Novo,Sudoeste,Jardim,B,2.7,0.44,0.95,0.26,7,True,True,False,False,False,False,False,False,510600.0,Alto
IMV00014,Estúdio,Zona Industrial,58,1,1,1,1981,Razoável,Sudeste,Rua,F,8.2,0.54,0.77,1.19,2,False,False,False,False,False,False,False,False,37800.0,Baixo
IMV00015,Duplex,Periferia,160,3,2,9,1978,Para Remodelar,Sudoeste,Jardim,E,7.1,0.87,0.08,0.08,4,False,False,True,False,False,True,False,False,165500.0,Médio
IMV00016,Penthouse,Centro Histórico,113,3,2,4,1971,Para Remodelar,Sudeste,Rua,E,0.0,0.19,0.42,0.29,8,False,False,False,True,False,True,False,False,261200.0,Médio
IMV00017,Penthouse,Zona Industrial,136,3,3,3,2004,Bom,Este,Rua,C,8.3,1.54,0.03,2.64,2,True,True,False,False,False,True,False,False,265100.0,Médio
IMV00018,Duplex,Periferia,133,3,2,0,1976,Para Remodelar,Nordeste,Jardim,E,7.5,1.72,0.42,0.91,3,False,True,False,False,False,False,False,False,142200.0,Baixo
IMV00019,Apartamento,Bairro Residencial,79,1,1,7,1971,Razoável,Norte,Cidade,F,6.0,2.11,0.11,6.99,4,False,True,False,False,False,False,False,False,119500.0,Baixo
IMV00020,Duplex,Zona Industrial,124,4,3,2,2020,Novo,Sul,Pátio,A,8.9,4.38,1.52,0.36,1,True,False,False,True,False,False,False,False,194600.0,Médio
IMV00021,Penthouse,Centro Histórico,126,3,2,7,2024,Novo,Este,Cidade,A,1.9,0.7,0.46,5.03,7,True,False,False,False,False,False,True,True,565700.0,Alto
IMV00022,Duplex,Zona Premium,167,4,3,5,1998,Razoável,Nordeste,Rua,F,3.3,4.91,0.47,1.01,6,True,False,True,False,False,False,False,False,516800.0,Alto
